number	Sim	density	$DOMM	density	$EMERG	density	$INTROM	density	$NANC	density	$NSUB	density	$NTEM	density	$RECM	density	$SRD	density	$SRW	density	$TRANSIT	density	$CONN	density
76	37.1212	-nan	0.0222059	-nan	17580.1	-nan	0.037895	-nan	17573.5	-nan	7931.12	-nan	7941.82	-nan	0.00753696	-nan	0.89507	-nan	0.705485	-nan	3784.03	-nan	74254.7	-nan
77	37.6162	-nan	0.0225019	-nan	17680.9	-nan	0.038399	-nan	17674.3	-nan	8016.62	-nan	8027.24	-nan	0.00763732	-nan	0.899004	-nan	0.713558	-nan	3834.4	-nan	74403	-nan
78	38.1111	-nan	0.0227978	-nan	17781.7	-nan	0.0389029	-nan	17775	-nan	8102.11	-nan	8112.67	-nan	0.00773768	-nan	0.902937	-nan	0.721631	-nan	3884.78	-nan	74551.2	-nan
79	38.6061	-nan	0.0230937	-nan	17882.5	-nan	0.0394068	-nan	17875.7	-nan	8187.61	-nan	8198.09	-nan	0.00783804	-nan	0.906871	-nan	0.729704	-nan	3935.15	-nan	74699.5	-nan
80	39.101	-nan	0.0233897	-nan	17983.2	-nan	0.0399107	-nan	17976.5	-nan	8273.1	-nan	8283.52	-nan	0.0079384	-nan	0.910804	-nan	0.737777	-nan	3985.53	-nan	74847.8	-nan
81	39.596	-nan	0.0236856	-nan	18084	-nan	0.0404147	-nan	18077.2	-nan	8358.6	-nan	8368.94	-nan	0.00803876	-nan	0.914738	-nan	0.74585	-nan	4035.9	-nan	74996	-nan
82	40.0909	-nan	0.0239816	-nan	18184.8	-nan	0.0409186	-nan	18177.9	-nan	8444.09	-nan	8454.36	-nan	0.00813911	-nan	0.918671	-nan	0.753923	-nan	4086.27	-nan	75144.3	-nan
83	40.5859	-nan	0.0242775	-nan	18285.6	-nan	0.0414225	-nan	18278.6	-nan	8529.59	-nan	8539.79	-nan	0.00823947	-nan	0.922605	-nan	0.761996	-nan	4136.65	-nan	75292.5	-nan
84	41.0808	-nan	0.0245735	-nan	18386.4	-nan	0.0419264	-nan	18379.4	-nan	8615.08	-nan	8625.21	-nan	0.00833983	-nan	0.926538	-nan	0.770069	-nan	4187.02	-nan	75440.8	-nan
85	41.5758	-nan	0.0248694	-nan	18487.2	-nan	0.0424303	-nan	18480.1	-nan	8700.58	-nan	8710.64	-nan	0.00844019	-nan	0.930472	-nan	0.778143	-nan	4237.39	-nan	75589.1	-nan
86	42.0707	-nan	0.0251654	-nan	18588	-nan	0.0429343	-nan	18580.8	-nan	8786.07	-nan	8796.06	-nan	0.00854055	-nan	0.934406	-nan	0.786216	-nan	4287.77	-nan	75737.3	-nan
87	42.5657	-nan	0.0254613	-nan	18688.8	-nan	0.0434382	-nan	18681.5	-nan	8871.57	-nan	8881.48	-nan	0.00864091	-nan	0.938339	-nan	0.794289	-nan	4338.14	-nan	75885.6	-nan
88	43.0606	-nan	0.0257573	-nan	18789.5	-nan	0.0439421	-nan	18782.3	-nan	8957.06	-nan	8966.91	-nan	0.00874127	-nan	0.942273	-nan	0.802362	-nan	4388.52	-nan	76033.9	-nan
89	43.5556	-nan	0.0260532	-nan	18890.3	-nan	0.044446	-nan	18883	-nan	9042.56	-nan	9052.33	-nan	0.00884163	-nan	0.946206	-nan	0.810435	-nan	4438.89	-nan	76182.1	-nan
90	44.0505	-nan	0.0263491	-nan	18991.1	-nan	0.04495	-nan	18983.7	-nan	9128.05	-nan	9137.76	-nan	0.00894199	-nan	0.95014	-nan	0.818508	-nan	4489.26	-nan	76330.4	-nan
91	44.5455	-nan	0.0266451	-nan	19091.9	-nan	0.0454539	-nan	19084.5	-nan	9213.55	-nan	9223.18	-nan	0.00904235	-nan	0.954073	-nan	0.826581	-nan	4539.64	-nan	76478.6	-nan
92	45.0404	-nan	0.026941	-nan	19192.7	-nan	0.0459578	-nan	19185.2	-nan	9299.04	-nan	9308.61	-nan	0.00914271	-nan	0.958007	-nan	0.834654	-nan	4590.01	-nan	76626.9	-nan
93	45.5354	-nan	0.027237	-nan	19293.5	-nan	0.0464617	-nan	19285.9	-nan	9384.54	-nan	9394.03	-nan	0.00924307	-nan	0.96194	-nan	0.842727	-nan	4640.38	-nan	76775.2	-nan
94	46.0303	-nan	0.0275329	-nan	19394.3	-nan	0.0469657	-nan	19386.6	-nan	9470.03	-nan	9479.45	-nan	0.00934342	-nan	0.965874	-nan	0.8508	-nan	4690.76	-nan	76923.4	-nan
95	46.5253	-nan	0.0278289	-nan	19495.1	-nan	0.0474696	-nan	19487.4	-nan	9555.53	-nan	9564.88	-nan	0.00944378	-nan	0.969807	-nan	0.858873	-nan	4741.13	-nan	77071.7	-nan
96	47.0202	-nan	0.0281248	-nan	19595.8	-nan	0.0479735	-nan	19588.1	-nan	9641.02	-nan	9650.3	-nan	0.00954414	-nan	0.973741	-nan	0.866947	-nan	4791.5	-nan	77220	-nan
97	47.5152	-nan	0.0284208	-nan	19696.6	-nan	0.0484774	-nan	19688.8	-nan	9726.52	-nan	9735.73	-nan	0.0096445	-nan	0.977674	-nan	0.87502	-nan	4841.88	-nan	77368.2	-nan
98	48.0101	-nan	0.0287167	-nan	19797.4	-nan	0.0489814	-nan	19789.5	-nan	9812.01	-nan	9821.15	-nan	0.00974486	-nan	0.981608	-nan	0.883093	-nan	4892.25	-nan	77516.5	-nan
99	48.5051	-nan	0.0290127	-nan	19898.2	-nan	0.0494853	-nan	19890.3	-nan	9897.5	-nan	9906.58	-nan	0.00984522	-nan	0.985541	-nan	0.891166	-nan	4942.63	-nan	77664.7	-nan
100	49	-nan	0.0293086	-nan	19999	-nan	0.0499892	-nan	19991	-nan	9983	-nan	9992	-nan	0.00994558	-nan	0.989475	-nan	0.899239	-nan	4993	-nan	77813	-nan
